Title of Activity,Please identify the AFU Principle(s) most relevant to this work.,Please identify who the activity is aimed at.,What is the primary purpose of the activity?
Consulting with Senior Scholars and Professors Emeriti,Principle 9: To engage actively with the university’s own retired community.,University Faculty,"We consulted with Deans, Senior Scholars and Professors Emeriti, to find out what practices and experiences are for retirees who hold unpaid academic appointments with the University. Based on findings and recommendations, many policies, procedures and initiatives are occurring for individuals in these positions and all retirees of the University."
Grant funding competition for Age-Friendly University initiatives,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 5: To widen access to online educational opportunities for older adults to ensure a diversity of routes to participation.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 7: To increase the understanding of students of the longevity dividend and the increasing complexity and richness that aging brings to our society.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 9: To engage actively with the university’s own retired community.,Principle 10: To ensure regular dialogue with organizations representing the interests of the aging population. ","Undergraduate Students,Post-Graduate Students,University Staff,University Faculty,Graduate Students,Community Members,Lifelong Learners,Community and Organizational Partners","The primary purpose was to ensure that more units (academic and non-academic) at the University were engaging in activities to improve the age-friendliness of the university. In addition, the competition presented an opportunity to build awareness at the University about AFU principles. And finally, funded groups learned from each other."
University of Manitoba Cicero Club,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 5: To widen access to online educational opportunities for older adults to ensure a diversity of routes to participation.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 7: To increase the understanding of students of the longevity dividend and the increasing complexity and richness that aging brings to our society.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 9: To engage actively with the university’s own retired community.,Principle 10: To ensure regular dialogue with organizations representing the interests of the aging population. ","Undergraduate Students,Graduate Students","Collegial support for older adult students (age 50+). Members network and confront the challenges that they face at university. As Mallman and Lee write, One cannot know how “marginalized and detached from student networks of sociality and information an older student can be simply by virtue of age.” Members work to create a truly age-friendly university environment. As educator Muni Abdi argues, “It is not inclusion if you invite people into a space you are not willing to change.” 
"
"University Student Organization, ""Senior Scholars at USF"" is a senior citizen-led group. ","""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 7: To increase the understanding of students of the longevity dividend and the increasing complexity and richness that aging brings to our society.","Lifelong Learners,University Staff,Community Members","Our mission is to cultivate a dynamic and supportive community for the University of South Florida's Senior Scholars. We are dedicated to empowering lifelong learners to participate actively, purposefully, and meaningfully in all aspects of campus life—academically, socially, and culturally. We strive to integrate senior-focused perspectives into USF's broader academic and administrative framework. "
Every step counts,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,"Community and Organizational Partners,Community Members","Promoting physical activity in older adults through a guided walk, encouraging the adoption of healthy habits, increasing daily steps and community participation in a safe and accessible environment.
"
"World Human Rights Cities Forum 2026: “AI, Well-Aging and Human Rights”","Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 10: To ensure regular dialogue with organizations representing the interests of the aging population. ","Undergraduate Students,University Staff,Lifelong Learners,University Faculty,Community and Organizational Partners,Community Members","The forum's primary purpose is to reframe ""well-aging"" as a human-rights issue in the era of AI and digital transformation, and to build regional governance dialogue on the digital divide, exclusion, and fundamental rights of older adults. It links Gwangju's human-rights city vision with Chosun University's well-aging research to advance a human-centered model of digital inclusion, convening the university, local government, civil society, and international organizations to translate dialogue into regional action."
Well-Aging Senior Life Care Program ‘Art Walk’,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Graduate Students,Post-Graduate Students,Lifelong Learners,Community and Organizational Partners","To support healthy, active aging by giving local seniors (aged 50+) hands-on access to the arts at a university-run urban campus art center. Over 15 sessions, participants learn art theory, practice, and creation step by step—many exhibiting their own work for the first time—turning art into a lasting hobby and means of self-expression. The program also builds a sustainable well-aging culture by connecting Chosun University, Dong-gu District, and local artists with the community."
Age-Inclusive Guide for Higher Education,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 7: To increase the understanding of students of the longevity dividend and the increasing complexity and richness that aging brings to our society.","Undergraduate Students,Graduate Students,Post-Graduate Students,University Staff,University Faculty","This introductory guide promotes age-inclusive thinking and practice within higher education. It serves as a starting point for reflection, conversation, and ongoing learning among those at universities and colleges who engage with age-diverse students, faculty, and staff."
Age-Friendly Universities and Accessible by Design: Building Inclusive Campuses for All  ,"Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 9: To engage actively with the university’s own retired community.","Community Members,Graduate Students,University Faculty","The primary purpose is to highlight the relationship between the University of Windsor's Age Friendly University designation and its wider accessibility strategy, emphasizing that age friendly practices and inclusive design principles are complementary elements of the same institutional commitment to equity and inclusion."
Sunset House — A Retiree Connection Hub,"Principle 9: To engage actively with the university’s own retired community.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.",Lifelong Learners,"To provide a dedicated, accessible physical space where retirees can connect, collaborate, and stay engaged with the university community through social and intellectual activities."
UNI~COM: Lifelong Learning,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).,Principle 5: To widen access to online educational opportunities for older adults to ensure a diversity of routes to participation.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Community Members,Lifelong Learners","UNI~COM: Lifelong Learning is a voluntary, university-hosted organization for individuals 50 and over — retired, semi-retired, or still employed. It offers non-credit study groups, speaker luncheons, and cultural programs designed to foster intellectual engagement, social connection, and continued learning in a university setting, without exams or academic prerequisites."
